date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.14,03:24:00,24804.2,24804.3,24798.4,24803.8,274,0,100,2025-10-14 03:24:00,24781.2048412418,24761.274839155558,7.899999999999896,24674.688628279735
2025.10.14,03:25:00,24803.9,24813.0,24803.0,24811.2,297,0,100,2025-10-14 03:25:00,24784.061523028297,24763.232688600438,8.285714285714025,24674.78911997621
2025.10.14,03:26:00,24811.4,24817.7,24810.5,24815.2,322,0,100,2025-10-14 03:26:00,24787.027092263696,24765.270622380813,8.24999999999974,24674.901093425335
2025.10.14,03:27:00,24815.4,24819.9,24814.8,24816.3,242,0,100,2025-10-14 03:27:00,24789.814988238584,24767.27177444431,7.849999999999844,24674.985788787166
2025.10.14,03:28:00,24816.5,24820.3,24814.4,24815.0,213,0,100,2025-10-14 03:28:00,24792.213560787288,24769.143469564144,7.685714285713922,24675.059565793905
2025.10.14,03:29:00,24817.8,24821.0,24817.3,24820.4,219,0,100,2025-10-14 03:29:00,24794.897983569448,24771.153529581235,6.992857142856727,24675.138263967703
2025.10.14,03:30:00,24820.5,24824.8,24817.4,24821.8,272,0,100,2025-10-14 03:30:00,24797.46008037236,24773.13966567609,6.914285714285143,24675.236830128266
2025.10.14,03:31:00,24822.5,24824.4,24820.2,24822.5,210,0,100,2025-10-14 03:31:00,24799.84483462261,24775.075365061344,6.464285714285195,24675.31320144321
2025.10.14,03:32:00,24822.5,24853.0,24821.8,24848.3,314,0,100,2025-10-14 03:32:00,24804.4596122776,24777.94691937266,8.214285714285195,24675.447237857414
2025.10.14,03:33:00,24848.4,24866.3,24848.4,24858.0,450,0,100,2025-10-14 03:33:00,24809.55869682259,24781.086255867853,9.178571428570908,24675.64972578058
2025.10.14,03:34:00,24857.9,24861.3,24850.8,24854.8,361,0,100,2025-10-14 03:34:00,24813.867392363296,24783.97699093186,9.349999999999584,24675.808996744312
2025.10.14,03:35:00,24854.9,24855.5,24842.4,24848.8,330,0,100,2025-10-14 03:35:00,24817.194307376314,24786.51906971885,9.90714285714239,24675.94947094895
2025.10.14,03:36:00,24849.0,24849.5,24840.9,24842.0,314,0,100,2025-10-14 03:36:00,24819.55675429286,24788.694792474973,10.107142857142337,24676.077672595664
